Title,Rating,Price,Review,Functional URL
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",4.0 out of 5 stars,679,"4,941",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_1_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",4.4 out of 5 stars,799,115,https://www.amazon.in/FUR-JADEN-Backpack-Compartment-Organizer/dp/B0BYSZ3TKW/ref=sr_1_2_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),4.0 out of 5 stars,"1,199","54,992",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-3
Skybags Brat Black 46 Cms Casual Backpack,4.1 out of 5 stars,669,"5,198",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-4
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),4.3 out of 5 stars,598,"11,860",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-5
Half Moon Large 37L Laptop Bag Backpack for menà¤‚ Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,849,"3,239",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-6
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",3.9 out of 5 stars,649,"16,604",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-7
Half Moon Large 37L Laptop Bag Backpack for menà¤‚ Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,849,"3,239",https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-8
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),4.4 out of 5 stars,987,"5,922",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-9
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",4.3 out of 5 stars,"1,299",572,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-10
